Fecha,Valor_PVPC,Porcentaje_PVPC,Valor_Mercado_Spot,Porcentaje_Mercado_Spot
2014-01-19T22:00:00.000Z,"","",32.32,1.0
2014-01-19T23:00:00.000Z,"","",26.62,1.0
2014-01-20T00:00:00.000Z,"","",14.69,1.0
2014-01-20T01:00:00.000Z,"","",0.1,1.0
2014-01-20T02:00:00.000Z,"","",0.1,1.0
2014-01-20T03:00:00.000Z,"","",0.1,1.0
2014-01-20T04:00:00.000Z,"","",1.0,1.0
2014-01-20T05:00:00.000Z,"","",16.78,1.0
2014-01-20T06:00:00.000Z,"","",35.5,1.0
2014-01-20T07:00:00.000Z,"","",45.77,1.0
2014-01-20T08:00:00.000Z,"","",47.0,1.0
2014-01-20T09:00:00.000Z,"","",46.4,1.0
2014-01-20T10:00:00.000Z,"","",41.87,1.0
2014-01-20T11:00:00.000Z,"","",43.85,1.0
2014-01-20T12:00:00.000Z,"","",47.0,1.0
2014-01-20T13:00:00.000Z,"","",47.0,1.0
2014-01-20T14:00:00.000Z,"","",42.1,1.0
2014-01-20T15:00:00.000Z,"","",45.77,1.0
2014-01-20T16:00:00.000Z,"","",53.3,1.0
2014-01-20T17:00:00.000Z,"","",58.0,1.0
2014-01-20T18:00:00.000Z,"","",65.13,1.0
2014-01-20T19:00:00.000Z,"","",65.13,1.0
2014-01-20T20:00:00.000Z,"","",67.1,1.0
2014-01-20T21:00:00.000Z,"","",54.71,1.0
2014-01-20T22:00:00.000Z,"","",42.5,1.0
2014-01-20T23:00:00.000Z,"","",47.5,1.0
2014-01-21T00:00:00.000Z,"","",42.98,1.0
2014-01-21T01:00:00.000Z,"","",35.0,1.0
2014-01-21T02:00:00.000Z,"","",30.78,1.0
2014-01-21T03:00:00.000Z,"","",30.0,1.0
2014-01-21T04:00:00.000Z,"","",35.5,1.0
2014-01-21T05:00:00.000Z,"","",44.04,1.0
2014-01-21T06:00:00.000Z,"","",53.69,1.0
2014-01-21T07:00:00.000Z,"","",58.03,1.0
2014-01-21T08:00:00.000Z,"","",62.1,1.0
2014-01-21T09:00:00.000Z,"","",57.13,1.0
2014-01-21T10:00:00.000Z,"","",55.03,1.0
2014-01-21T11:00:00.000Z,"","",57.13,1.0
2014-01-21T12:00:00.000Z,"","",55.0,1.0
2014-01-21T13:00:00.000Z,"","",53.69,1.0
2014-01-21T14:00:00.000Z,"","",51.0,1.0
2014-01-21T15:00:00.000Z,"","",50.69,1.0
2014-01-21T16:00:00.000Z,"","",53.41,1.0
2014-01-21T17:00:00.000Z,"","",57.13,1.0
2014-01-21T18:00:00.000Z,"","",61.32,1.0
2014-01-21T19:00:00.000Z,"","",59.79,1.0
2014-01-21T20:00:00.000Z,"","",61.56,1.0
2014-01-21T21:00:00.000Z,"","",56.31,1.0
2014-01-21T22:00:00.000Z,"","",48.19,1.0
2014-01-21T23:00:00.000Z,"","",45.0,1.0
2014-01-22T00:00:00.000Z,"","",35.85,1.0
2014-01-22T01:00:00.000Z,"","",30.52,1.0
2014-01-22T02:00:00.000Z,"","",30.13,1.0
2014-01-22T03:00:00.000Z,"","",30.78,1.0
2014-01-22T04:00:00.000Z,"","",35.0,1.0
2014-01-22T05:00:00.000Z,"","",44.17,1.0
2014-01-22T06:00:00.000Z,"","",51.0,1.0
2014-01-22T07:00:00.000Z,"","",53.5,1.0
2014-01-22T08:00:00.000Z,"","",58.3,1.0
2014-01-22T09:00:00.000Z,"","",56.9,1.0
2014-01-22T10:00:00.000Z,"","",53.03,1.0
2014-01-22T11:00:00.000Z,"","",55.13,1.0
2014-01-22T12:00:00.000Z,"","",53.62,1.0
